article,general_summary,requirement
12,"The article outlines the requirements for controllers to provide data subjects with clear and accessible information regarding the processing of their data, facilitate the exercise of data subject rights, respond to requests promptly, and handle requests for information in a transparent and compliant manner.","1. Provide information to data subjects in a concise, transparent, intelligible, and easily accessible form using clear and plain language.
2. Facilitate the exercise of data subject rights under Articles 15 to 22.
3. Provide information on actions taken on requests within one month, with a possible extension of two months in complex cases.
4. Inform data subjects promptly if action is not taken on their request, providing reasons and guidance on lodging complaints.
5. Provide information and actions under Articles 13, 14, 15 to 22 free of charge, unless requests are manifestly unfounded or excessive.
6. Demonstrate the manifestly unfounded or excessive nature of requests if charging a fee or refusing to act.
7. Verify the identity of data subjects if there are doubts.
8. Use standardized icons to provide a clear overview of data processing, with machine-readable electronic presentation.
9. Comply with any delegated acts by the Commission regarding the use of icons and procedures for"
13,"General Summary:
This article outlines the requirements for controllers to provide data subjects with specific information when collecting personal data. It includes details such as the identity of the controller, purposes of processing, recipients of data, data transfers, storage period, data subject rights, withdrawal of consent, lodging complaints, and automated decision-making.","- Provide data subjects with information about the controller's identity, contact details, and representative (if applicable).
- Disclose the purposes of processing and legal basis, including legitimate interests pursued.
- Inform data subjects about recipients or categories of recipients of their personal data.
- Notify data subjects about potential data transfers to third countries and safeguards in place.
- Share the storage period of personal data and data subject rights, including access, rectification, erasure, and objection to processing.
- Inform data subjects about the right to withdraw consent, lodge complaints, and the existence of automated decision-making.
- Provide additional information if personal data will be further processed for a different purpose than initially collected."
14,"This article outlines the information that controllers must provide to data subjects when personal data has not been obtained directly from them. It includes details such as the controller's identity, contact details, purposes of processing, recipients of data, and more. Additionally, it specifies the timeline for providing this information and exceptions to these requirements.","- Controllers must provide specific information to data subjects, including the controller's identity, contact details, purposes of processing, categories of data, recipients of data, and details on international data transfers.
- Additional information must be provided to ensure fair and transparent processing, such as data storage period, legitimate interests, data subject rights, and more.
- Information must be provided within a reasonable timeframe, either upon obtaining the data, at the first communication with the data subject, or when disclosing data to another recipient.
- Prior to further processing personal data for a different purpose, data subjects must be informed.
- Exceptions to providing information apply in certain cases where it is impossible or disproportionate to do so, or when there are legal obligations or confidentiality requirements."
15,"General Summary:
This article outlines the data subject's right to access personal data being processed by a controller. It specifies the information that the data subject is entitled to receive, including details about the processing purposes, categories of data, recipients, storage period, rights to rectification or erasure, and more. Additionally, it addresses the transfer of data to third countries and the right to be informed of safeguards. The article also mentions the controller's obligation to provide a copy of the personal data upon request, with the possibility of charging a reasonable fee for additional copies.","- The controller must confirm whether personal data is being processed and provide access to the data.
- Information about processing purposes, data categories, recipients, storage period, rights to rectification or erasure, and objection rights must be disclosed.
- Data subjects must be informed of safeguards when data is transferred to third countries.
- The controller must provide a copy of the personal data undergoing processing, with the option to charge a reasonable fee for additional copies.
- Information should be provided in a commonly used electronic form if requested electronically.
- Providing a copy of personal data should not infringe on the rights and freedoms of others."
16,"General Summary:
This article outlines the rights of data subjects to request the correction of inaccurate personal data held by data controllers. It also specifies that data subjects have the right to have incomplete personal data completed by providing additional information.","- Data controllers must rectify inaccurate personal data without undue delay upon receiving a request from the data subject.
- Data controllers must ensure that incomplete personal data is completed, including by accepting supplementary statements from the data subject."
17,"General Summary:
This article outlines the right of data subjects to request the erasure of their personal data from controllers under certain circumstances. It specifies the grounds on which the controller must erase the data and the exceptions to this requirement.","- The controller must erase personal data without undue delay if it is no longer necessary for the purposes for which it was collected.
- Erasure is required if the data subject withdraws consent and there is no other legal basis for processing.
- If the data subject objects to processing and there are no overriding legitimate grounds, the data must be erased.
- Personal data must be erased if it was unlawfully processed or to comply with legal obligations.
- Erasure is necessary for data collected in relation to information society services.
- Controllers must inform other entities processing the data if erasure is requested.
- Exceptions to erasure include cases where processing is necessary for freedom of expression, legal obligations, public interest in health, archiving, research, or legal claims."
18,"General Summary:
This article outlines the right of data subjects to request restriction of processing of their personal data under certain circumstances. It specifies the situations in which a data subject can request such restriction, including cases where the accuracy of the data is contested, the processing is unlawful, or the data is needed for legal claims. It also details the conditions under which restricted data can be processed and the requirement for the controller to inform the data subject when the restriction is lifted.","- Data subjects have the right to request restriction of processing in specific situations outlined in the article.
- Restricted personal data can only be processed with the data subject's consent or for legal claims, protection of rights, or important public interests.
- Controllers must inform data subjects before lifting the restriction of processing."
19,"General Summary:
This article outlines the obligation of the controller to communicate any rectification, erasure, or restriction of processing of personal data to recipients to whom the data has been disclosed. The controller must also inform the data subject about these recipients upon request.","1. Communicate any rectification, erasure, or restriction of processing of personal data to recipients.
2. Inform the data subject about the recipients if requested."
20,"General Summary:
This article outlines the data subject's right to receive their personal data from a controller in a structured, machine-readable format, and to transmit this data to another controller without hindrance. It specifies the conditions under which this right applies, such as when processing is based on consent or a contract and is carried out by automated means.","- Data subjects have the right to receive their personal data in a structured, commonly used, and machine-readable format.
- Data subjects can transmit their data to another controller without hindrance, under certain conditions.
- The right to data portability applies when processing is based on consent or a contract and is carried out by automated means.
- Data subjects have the right to have their personal data transmitted directly from one controller to another, where technically feasible.
- This right does not apply to processing necessary for tasks in the public interest or the exercise of official authority.
- The exercise of this right should not infringe upon the rights and freedoms of others."
21,"General Summary:
This article outlines the data subject's right to object to the processing of their personal data in certain situations, such as for direct marketing purposes or when the processing is based on specific legal grounds. It also specifies that the controller must stop processing the data unless they can demonstrate legitimate reasons that outweigh the data subject's interests.","1. Data subjects have the right to object to the processing of their personal data based on specific legal grounds (Article 6(1)(e) or (f)).
2. Data subjects can object to the processing of their personal data for direct marketing purposes, including profiling related to such marketing.
3. Controllers must stop processing personal data for direct marketing if the data subject objects.
4. The right to object must be clearly and separately presented to the data subject at the latest by the time of the first communication.
5. Data subjects can use automated means to exercise their right to object in the context of information society services.
6. Data subjects can object to the processing of their personal data for scientific, historical research, or statistical purposes if it is not necessary for reasons of public interest."
22,"General Summary:
This article outlines the right of data subjects not to be subject to decisions based solely on automated processing, including profiling, that have legal effects or significantly affect them. It specifies exceptions to this right and requires data controllers to implement measures to safeguard the data subject's rights and freedoms in certain cases.","- Decision-making based on automated processing should not have legal effects or significantly affect the data subject unless it is necessary for a contract, authorized by law, or based on explicit consent.
- Data controllers must implement measures to safeguard the data subject's rights and freedoms, including the right to human intervention, expressing their point of view, and contesting the decision.
- Decisions should not be based on special categories of personal data unless specific conditions are met and measures are in place to protect the data subject's rights and freedoms."
23,"General Summary:
This article outlines that Union or Member State laws can restrict certain GDPR obligations and rights under specific circumstances related to national security, defense, public security, prevention of criminal activities, and other public interests. These restrictions must respect fundamental rights and freedoms and be proportionate in a democratic society.","- Legislative measures restricting GDPR obligations must specify purposes and categories of processing.
- They must define the scope of restrictions, safeguards against abuse, and controller specifications.
- Storage periods, risks to data subjects' rights, and informing data subjects about restrictions are essential aspects to be addressed."
24,"General Summary:
This article outlines the requirement for data controllers to implement appropriate technical and organizational measures to ensure compliance with the GDPR. It emphasizes the need to consider the nature of data processing, associated risks, and the rights of individuals. The measures should be regularly reviewed and updated, and may include the implementation of data protection policies. Adherence to approved codes of conduct or certification mechanisms can be used to demonstrate compliance.","- Implement appropriate technical and organizational measures to ensure GDPR compliance.
- Regularly review and update these measures as necessary.
- Consider the nature, scope, context, and purposes of data processing, as well as associated risks.
- Implement data protection policies.
- Adhere to approved codes of conduct or certification mechanisms to demonstrate compliance."
25,"This article emphasizes the importance of implementing appropriate technical and organizational measures to protect personal data and ensure compliance with GDPR requirements. It highlights the need for controllers to consider factors such as the nature of processing, risks to individuals' rights, and data protection principles when determining and carrying out data processing activities.","1. Implement appropriate technical and organizational measures to ensure that only necessary personal data is processed for each specific purpose.
2. Ensure that personal data processing is limited in terms of the amount collected, extent of processing, storage period, and accessibility.
3. Implement measures to prevent personal data from being accessed without individual intervention by an indefinite number of natural persons.
4. Consider utilizing an approved certification mechanism to demonstrate compliance with the requirements outlined in the article."
26,This article outlines the responsibilities and requirements for joint controllers under the GDPR. It emphasizes the need for joint controllers to determine their respective responsibilities transparently and provide necessary information to data subjects.,"1. Joint controllers must transparently determine their respective responsibilities for GDPR compliance.
2. They must establish an arrangement outlining their roles and relationships in processing personal data.
3. The arrangement should designate a contact point for data subjects.
4. Data subjects have the right to exercise their GDPR rights against each of the joint controllers."
27,"General Summary:
Article 3(2) of the GDPR requires controllers or processors to designate a representative in the Union under certain circumstances. However, there are exceptions to this requirement for specific types of processing activities. The representative must be established in a Member State where the data subjects are located and can be contacted by supervisory authorities and data subjects regarding compliance with the GDPR.","1. Designate a representative in the Union if Article 3(2) applies.
2. Exceptions to this requirement include occasional processing that does not involve special categories of data or data relating to criminal convictions, and processing that is unlikely to pose risks to individuals' rights and freedoms.
3. The representative must be established in a Member State where the data subjects are located.
4. The representative must be mandated to address issues related to processing on behalf of the controller or processor with supervisory authorities and data subjects.
5. The designation of a representative does not exempt the controller or processor from legal actions that may be initiated against them."
28,"General Summary:
This article outlines the responsibilities and requirements for processors who handle data on behalf of a controller under the GDPR. It emphasizes the need for processors to have appropriate technical and organizational measures in place to protect data subjects' rights and ensure compliance with the regulation.","- Processors must use only processors that provide sufficient guarantees to meet GDPR requirements and protect data subjects' rights.
- Processors cannot engage another processor without the controller's authorization.
- Processing by a processor must be governed by a contract or legal act that outlines specific details such as the nature of processing, data subjects, and obligations.
- Processors must follow documented instructions from the controller, ensure confidentiality, take necessary security measures, assist the controller in responding to data subject requests, and assist in compliance with GDPR obligations.
- Processors must delete or return data to the controller after processing ends, provide necessary compliance information, and allow for audits.
- If a processor engages another processor, the same data protection obligations must be imposed on the other processor.
- Adherence to an approved code of conduct or certification mechanism can demonstrate compliance.
- The contract between the controller and processor must be in writing.
- If a processor determines the purposes and means of processing, they will be considered a controller"
29,"General Summary:
This article outlines that individuals who have access to personal data must only process that data based on instructions from the controller, unless mandated by Union or Member State law.","- Individuals with access to personal data must follow instructions from the controller for processing the data.
- Processing of personal data should only be done as per legal requirements set by Union or Member State law."
30,"General Summary:
This article outlines the requirement for controllers and processors to maintain records of processing activities they are responsible for. The records should include specific information such as the name and contact details of the controller, purposes of processing, categories of data subjects and personal data, recipients of data, data transfers, data erasure time limits, and security measures. The records must be in writing or electronic form and made available to supervisory authorities upon request. There are exceptions for small enterprises unless their processing activities pose risks to data subjects' rights and freedoms.","1. Controllers must maintain records of processing activities, including specific information as outlined in the article.
2. Processors must also maintain records of processing activities on behalf of controllers, containing specific details.
3. Records must be in writing or electronic form.
4. Records must be made available to supervisory authorities upon request.
5. Small enterprises with fewer than 250 employees are exempt from these obligations unless their processing activities pose risks to data subjects' rights and freedoms or involve special categories of data."
31,"General Summary:
This article emphasizes the importance of cooperation between data controllers, processors, their representatives, and the supervisory authority to facilitate the performance of tasks related to GDPR compliance.","- Data controllers, processors, and their representatives must cooperate with the supervisory authority upon request.
- The cooperation should be aimed at supporting the supervisory authority in carrying out its tasks related to data protection compliance."
32,"This article outlines the requirement for controllers and processors to implement appropriate technical and organizational measures to ensure the security of personal data processing. It emphasizes the importance of measures such as pseudonymization, encryption, confidentiality, integrity, availability, resilience, and the ability to restore data in case of incidents. Regular testing and evaluation of security measures are also highlighted.","1. Implement appropriate technical and organizational measures for data security.
2. Utilize pseudonymization and encryption of personal data.
3. Ensure ongoing confidentiality, integrity, availability, and resilience of processing systems and services.
4. Have the ability to restore data access in a timely manner after incidents.
5. Regularly test, assess, and evaluate the effectiveness of security measures.
6. Consider risks such as accidental or unlawful destruction, loss, alteration, unauthorized disclosure, or access to personal data.
7. Adhere to approved codes of conduct or certification mechanisms to demonstrate compliance.
8. Ensure that individuals accessing personal data only process it based on instructions from the controller or as required by law."
33,"General Summary:
This article outlines the requirements for controllers and processors to notify the supervisory authority and data subjects in the event of a personal data breach. It specifies the timeline for notification, the content that must be included in the notification, and the documentation that must be maintained by the controller.","1. Controllers must notify the supervisory authority of a personal data breach without undue delay and within 72 hours of becoming aware of it, unless the breach is unlikely to result in risks to individuals' rights and freedoms.
2. Processors must notify the controller promptly upon becoming aware of a personal data breach.
3. The notification to the supervisory authority must include specific details about the breach, such as the nature of the breach, categories of data subjects affected, and measures taken to address the breach.
4. Controllers must document all personal data breaches, including the facts, effects, and remedial actions taken, to enable the supervisory authority to verify compliance."
34,This article outlines the requirement for controllers to communicate personal data breaches to data subjects when the breach is likely to result in a high risk to their rights and freedoms. It also specifies conditions under which such communication may not be required.,"- Controllers must communicate personal data breaches to data subjects without undue delay if the breach poses a high risk to their rights and freedoms.
- The communication must be clear and plain, describing the nature of the breach and including specific information and measures.
- Communication to data subjects may not be required if appropriate technical and organizational protection measures have been implemented, subsequent measures have mitigated the risk, or if communication would involve disproportionate effort.
- If the breach has not been communicated to data subjects, the supervisory authority may require the controller to do so based on the likelihood of a high-risk breach."
35,"This article outlines the requirement for controllers to conduct a data protection impact assessment in cases where processing activities may pose a high risk to individuals' rights and freedoms. It specifies the criteria for when such assessments are necessary and the elements that must be included in the assessment. The article also discusses the role of supervisory authorities in establishing lists of processing operations requiring assessment and the consideration of approved codes of conduct. Additionally, it highlights the importance of seeking the views of data subjects and conducting reviews to ensure ongoing compliance.","- Controllers must conduct a data protection impact assessment before processing activities that may result in a high risk to individuals' rights and freedoms.
- The assessment must include a systematic description of processing operations, necessity and proportionality assessment, risk evaluation, and measures to address risks.
- Supervisory authorities must establish and communicate lists of processing operations requiring assessments and those exempt from assessments.
- Compliance with approved codes of conduct should be considered in impact assessments.
- Controllers should seek the views of data subjects when appropriate and conduct reviews to ensure ongoing compliance."
36,This article outlines the requirement for controllers to consult with the supervisory authority before processing data that poses a high risk to data subjects. It also specifies the obligations of controllers in providing information to the supervisory authority during consultation.,"- Controllers must consult the supervisory authority before processing data that poses a high risk.
- Controllers must provide detailed information to the supervisory authority during consultation, including responsibilities, purposes, safeguards, and contact details.
- Member States must consult the supervisory authority when proposing legislative or regulatory measures related to processing.
- Member State law may require controllers to consult with the supervisory authority for certain public interest processing tasks."
37,"This article outlines the requirement for the designation of a data protection officer by controllers and processors under certain circumstances, such as when processing is carried out by a public authority, involves large-scale monitoring of data subjects, or includes processing special categories of data. It also provides guidelines for appointing a data protection officer and their responsibilities.","1. Designate a data protection officer if processing is carried out by a public authority or body, involves large-scale monitoring of data subjects, or includes processing special categories of data.
2. A group of undertakings may appoint a single data protection officer accessible from each establishment.
3. For public authorities or bodies, a single data protection officer may be designated for multiple entities based on organizational structure and size.
4. In other cases, controllers, processors, or associations representing them may designate a data protection officer as required by law.
5. The data protection officer must have professional qualities, expert knowledge of data protection law, and be able to fulfill designated tasks.
6. The data protection officer can be a staff member or work on a service contract.
7. Publish and communicate the contact details of the data protection officer to the supervisory authority."
38,This article outlines the responsibilities and role of the data protection officer (DPO) in ensuring the protection of personal data. It emphasizes the independence and support required for the DPO to carry out their tasks effectively.,"- The controller and processor must involve the DPO in all matters related to personal data protection.
- The DPO should be supported with necessary resources and access to data for carrying out tasks.
- The DPO should not receive instructions on how to perform their tasks and should report directly to top management.
- Data subjects can contact the DPO for issues related to their personal data and rights.
- The DPO must maintain confidentiality and may have additional tasks as long as there are no conflicts of interest."
39,"General Summary:
This article outlines the tasks and responsibilities of a data protection officer (DPO) under the GDPR. The DPO is required to inform and advise the controller or processor, monitor compliance with data protection regulations, provide advice on data protection impact assessments, cooperate with supervisory authorities, and act as a contact point for data processing issues.","- The DPO must inform and advise the controller or processor and employees on their obligations under the GDPR and other data protection laws.
- The DPO is responsible for monitoring compliance with GDPR and other data protection laws, as well as the policies of the controller or processor.
- The DPO must provide advice on data protection impact assessments and monitor their performance.
- Cooperation with supervisory authorities is required.
- The DPO acts as a contact point for supervisory authorities on processing issues and may consult on other matters.
- The DPO must consider the risks associated with processing operations based on the nature, scope, context, and purposes of processing."
40,"This article outlines the encouragement for the development of codes of conduct to ensure proper application of the GDPR, with a focus on various aspects of data processing. It also specifies the requirements for associations and bodies to prepare, amend, or extend such codes to address specific GDPR compliance areas.","- Codes of conduct should cover aspects such as fair and transparent processing, legitimate interests of controllers, data collection, pseudonymisation, information provision to the public and data subjects, data subject rights, protection of children's data, security measures, breach notifications, international data transfers, and dispute resolution.
- Codes of conduct can be adhered to by entities not directly subject to the GDPR for data transfers, with binding commitments to apply appropriate safeguards.
- Mechanisms should be in place for monitoring compliance with the code of conduct.
- Draft codes, amendments, or extensions must be submitted to and approved by the relevant supervisory authority.
- Codes of conduct approved by the supervisory authority should be registered and published.
- Codes of conduct relating to multiple Member States should be submitted to the Board for review and approval.
- The Commission may decide on the general validity of approved codes of conduct within the EU through implementing acts.
- The Commission should ensure appropriate publicity for approved codes with"
41,"This article outlines the procedures for monitoring compliance with a code of conduct under the GDPR. It specifies the requirements for accrediting a body to monitor compliance with a code of conduct, including independence, expertise, handling complaints, and avoiding conflicts of interest. The competent supervisory authority is responsible for accrediting such bodies and may revoke accreditation if requirements are not met.","- Bodies monitoring compliance with a code of conduct must demonstrate independence and expertise to the supervisory authority.
- Procedures must be established to assess eligibility of controllers and processors, monitor compliance, review operations, and handle complaints transparently.
- Bodies must ensure tasks and duties do not result in conflicts of interest.
- The competent supervisory authority must submit draft requirements for accreditation to the Board.
- Accredited bodies must take appropriate action in cases of code infringement, including informing the supervisory authority.
- The supervisory authority will revoke accreditation if requirements are not met or if actions infringe the GDPR.
- This article does not apply to processing by public authorities and bodies."
42,"This article outlines the establishment of data protection certification mechanisms, seals, and marks to demonstrate compliance with the GDPR by controllers and processors. It emphasizes the voluntary nature of certification, the consideration of small and medium-sized enterprises, and the issuance and renewal of certifications for a maximum of three years.","- Controllers and processors subject to the GDPR should adhere to data protection certification mechanisms, seals, or marks to demonstrate compliance.
- Controllers or processors transferring data to third countries should make binding commitments to apply appropriate safeguards.
- Certification bodies or supervisory authorities should issue certifications based on approved criteria.
- Certifications should be renewed every three years if criteria are met, and withdrawn if criteria are not or are no longer met.
- The Board should maintain a register of certification mechanisms and make them publicly available."
43,"General Summary:
This article outlines the requirements for certification bodies to issue and renew data protection certifications under the GDPR. It specifies the accreditation process, independence, expertise, procedures, and responsibilities of certification bodies. Additionally, it discusses the renewal process, transparency in handling complaints, and the revocation of accreditation when necessary.","- Certification bodies must have an appropriate level of expertise in data protection.
- Certification bodies must be accredited by the competent supervisory authority or national accreditation body.
- Certification bodies must demonstrate independence and expertise, respect criteria, establish procedures for certification issuance and review, handle complaints transparently, and avoid conflicts of interest.
- Accreditation of certification bodies must be based on approved requirements by the supervisory authority or the Board.
- Certification bodies are responsible for proper assessment leading to certification or withdrawal, with accreditation lasting a maximum of five years.
- Certification bodies must provide reasons for granting or withdrawing certification to supervisory authorities.
- Requirements and criteria for certification mechanisms must be made public and transmitted to the Board.
- Accreditation may be revoked if conditions are not met or if actions infringe the GDPR.
- The Commission may adopt delegated and implementing acts to specify requirements and technical standards for certification mechanisms and data protection seals and marks."
44,"General Summary:
This article outlines the conditions that must be met for the transfer of personal data to a third country or international organization. It emphasizes the importance of complying with the provisions in this chapter to ensure the protection of individuals' data is not compromised.","- Personal data transfers to third countries or international organizations must comply with the conditions set out in this chapter.
- The level of protection of individuals' data guaranteed by the GDPR must not be undermined during such transfers."
45,This article outlines the conditions under which a transfer of personal data to a third country or international organization can take place if the Commission has determined that there is an adequate level of data protection. It also specifies the factors that the Commission considers when assessing the adequacy of data protection in a third country or international organization.,"- The Commission must assess the adequacy of the level of data protection in the third country or international organization.
- The Commission may decide, through implementing acts, that a third country or international organization ensures an adequate level of data protection.
- The Commission must monitor developments in third countries and international organizations that could affect data protection decisions.
- If a third country or international organization no longer ensures an adequate level of data protection, the Commission may repeal, amend, or suspend its decision.
- The Commission must consult with the third country or international organization to address any issues affecting data protection.
- The Commission must publish a list of third countries, territories, sectors, and international organizations for which an adequate level of data protection is or is no longer ensured."
46,"This article outlines the conditions under which a controller or processor can transfer personal data to a third country or international organization in the absence of a decision pursuant to Article 45(3) of the GDPR. It emphasizes the need for appropriate safeguards and the availability of enforceable data subject rights and legal remedies. Various methods of providing these safeguards are listed, including binding corporate rules, standard data protection clauses, approved codes of conduct, and certification mechanisms.","1. Implement appropriate safeguards when transferring personal data to a third country or international organization.
2. Ensure enforceable data subject rights and effective legal remedies are available.
3. Consider methods such as binding corporate rules, standard data protection clauses, approved codes of conduct, or certification mechanisms to provide safeguards.
4. Obtain authorization from the supervisory authority when necessary.
5. Maintain the validity of authorizations and decisions based on Directive 95/46/EC until amended, replaced, or repealed as required."
47,"General Summary:
This article outlines the requirements for the approval of binding corporate rules by the competent supervisory authority. These rules must be legally binding, apply to all members of the group of undertakings, confer enforceable rights on data subjects, and meet specific requirements. The rules must specify various aspects related to data processing, rights of data subjects, liability for breaches, information provision to data subjects, compliance monitoring, and reporting mechanisms.","Specific compliance requirements based on this article include detailing the structure and contact details of the group, specifying data transfers and processing details, ensuring legal binding nature, applying data protection principles, outlining data subject rights, establishing liability for breaches, providing information to data subjects, appointing a data protection officer, implementing complaint procedures, conducting compliance verification, reporting rule changes, cooperating with supervisory authorities, addressing legal requirements in third countries, and providing data protection training to relevant personnel."
48,"General Summary:
This article states that any court judgment or administrative decision from a third country requiring a controller or processor to transfer or disclose personal data must be based on an international agreement between the requesting country and the EU or a Member State for it to be recognized or enforced.",Compliance requirement based on this article is to ensure that any transfer or disclosure of personal data based on a court judgment or administrative decision from a third country must be in accordance with an international agreement in force between the requesting country and the EU or a Member State.
49,"This article outlines the conditions under which transfers of personal data to third countries or international organizations are permitted in the absence of an adequacy decision or appropriate safeguards. It specifies various scenarios where such transfers are allowed, including explicit consent from the data subject, necessity for contract performance, public interest, legal claims, vital interests protection, and more. Additionally, it details requirements for limited and non-repetitive transfers based on compelling legitimate interests, with the controller obligated to inform the supervisory authority and data subjects about the transfer.","- Obtain explicit consent from the data subject for the transfer, informing them of potential risks.
- Ensure the transfer is necessary for contract performance or in the data subject's interest.
- Justify transfers for public interest, legal claims, vital interests protection, or from open registers.
- Implement suitable safeguards for transfers not covered by specific provisions, based on compelling legitimate interests.
- Inform the supervisory authority and data subjects about the transfer and the pursued legitimate interests.
- Limit transfers from registers to specific data or categories and only upon request from legitimate persons.
- Exclude activities by public authorities exercising public powers from certain transfer conditions.
- Recognize public interest in Union or Member State law for specific data transfer limits.
- Document assessments and safeguards"
